Time	Node	Type	Packets	
4	Node17	CacheMisses	0
4	Node18	CacheHits	0
4	Node18	CacheMisses	0
4	Node19	CacheHits	0
4	Node19	CacheMisses	0
4	Node20	CacheHits	0
4	Node20	CacheMisses	0
4	Node21	CacheHits	0
4	Node21	CacheMisses	0
4	Node22	CacheHits	0
4	Node22	CacheMisses	0
4	Node23	CacheHits	0
4	Node23	CacheMisses	0
4	Node24	CacheHits	0
4	Node24	CacheMisses	0
4	Producer1	CacheHits	0
4	Producer1	CacheMisses	0
4	F1a	CacheHits	0
4	F1a	CacheMisses	0
4	F1b	CacheHits	0
4	F1b	CacheMisses	0
4	F1c	CacheHits	0
4	F1c	CacheMisses	0
4	F2a	CacheHits	0
4	F2a	CacheMisses	0
4	F2b	CacheHits	0
4	F2b	CacheMisses	0
4	F2c	CacheHits	0
4	F2c	CacheMisses	0
4	F3a	CacheHits	0
4	F3a	CacheMisses	0
4	F3b	CacheHits	0
4	F3b	CacheMisses	0
4	F3c	CacheHits	0
4	F3c	CacheMisses	0
4	F4a	CacheHits	0
4	F4a	CacheMisses	0
4	F4b	CacheHits	0
4	F4b	CacheMisses	0
4	F4c	CacheHits	0
4	F4c	CacheMisses	0
4	F5a	CacheHits	0
4	F5a	CacheMisses	0
4	F5b	CacheHits	0
4	F5b	CacheMisses	0
4	F5c	CacheHits	0
4	F5c	CacheMisses	0
4	Consumer2	CacheHits	0
4	Consumer2	CacheMisses	0
4	Consumer3	CacheHits	0
4	Consumer3	CacheMisses	0
4	Consumer4	CacheHits	0
4	Consumer4	CacheMisses	0
4	Producer2	CacheHits	0
4	Producer2	CacheMisses	0
4	Producer3	CacheHits	0
4	Producer3	CacheMisses	0
4	Producer4	CacheHits	0
4	Producer4	CacheMisses	0
5	Consumer1	CacheHits	0
5	Consumer1	CacheMisses	0
5	Node1	CacheHits	0
5	Node1	CacheMisses	0
5	Node2	CacheHits	0
5	Node2	CacheMisses	0
5	Node3	CacheHits	0
5	Node3	CacheMisses	0
5	Node4	CacheHits	0
5	Node4	CacheMisses	0
5	Node5	CacheHits	0
5	Node5	CacheMisses	0
5	Node6	CacheHits	0
5	Node6	CacheMisses	0
5	Node7	CacheHits	0
5	Node7	CacheMisses	0
5	Node8	CacheHits	0
5	Node8	CacheMisses	0
5	Node9	CacheHits	0
5	Node9	CacheMisses	0
5	Node10	CacheHits	0
5	Node10	CacheMisses	0
5	Node11	CacheHits	0
5	Node11	CacheMisses	0
5	Node12	CacheHits	0
5	Node12	CacheMisses	0
5	Node13	CacheHits	0
5	Node13	CacheMisses	0
5	Node14	CacheHits	0
5	Node14	CacheMisses	0
5	Node15	CacheHits	0
5	Node15	CacheMisses	0
5	Node16	CacheHits	0
5	Node16	CacheMisses	0
5	Node17	CacheHits	0
5	Node17	CacheMisses	0
5	Node18	CacheHits	0
5	Node18	CacheMisses	0
5	Node19	CacheHits	0
5	Node19	CacheMisses	0
5	Node20	CacheHits	0
5	Node20	CacheMisses	0
5	Node21	CacheHits	0
5	Node21	CacheMisses	0
5	Node22	CacheHits	0
5	Node22	CacheMisses	0
5	Node23	CacheHits	0
5	Node23	CacheMisses	0
5	Node24	CacheHits	0
5	Node24	CacheMisses	0
5	Producer1	CacheHits	0
5	Producer1	CacheMisses	0
5	F1a	CacheHits	0
5	F1a	CacheMisses	0
5	F1b	CacheHits	0
5	F1b	CacheMisses	0
5	F1c	CacheHits	0
5	F1c	CacheMisses	0
5	F2a	CacheHits	0
5	F2a	CacheMisses	0
5	F2b	CacheHits	0
5	F2b	CacheMisses	0
5	F2c	CacheHits	0
5	F2c	CacheMisses	0
5	F3a	CacheHits	0
5	F3a	CacheMisses	0
5	F3b	CacheHits	0
5	F3b	CacheMisses	0
5	F3c	CacheHits	0
5	F3c	CacheMisses	0
5	F4a	CacheHits	0
5	F4a	CacheMisses	0
5	F4b	CacheHits	0
5	F4b	CacheMisses	0
5	F4c	CacheHits	0
5	F4c	CacheMisses	0
5	F5a	CacheHits	0
5	F5a	CacheMisses	0
5	F5b	CacheHits	0
5	F5b	CacheMisses	0
5	F5c	CacheHits	0
5	F5c	CacheMisses	0
5	Consumer2	CacheHits	0
5	Consumer2	CacheMisses	0
5	Consumer3	CacheHits	0
5	Consumer3	CacheMisses	0
5	Consumer4	CacheHits	0
5	Consumer4	CacheMisses	0
5	Producer2	CacheHits	0
